step = 1, t = 2.2563621015717097e-6, dt = 2.2563621015717097e-6
step = 2, t = 3.2346242182698472e-6, dt = 9.782621166981375e-7
step = 3, t = 4.249070920061639e-6, dt = 1.0144467017917914e-6
step = 4, t = 5.2635176218534305e-6, dt = 1.0144467017917914e-6
step = 5, t = 6.277964323645222e-6, dt = 1.0144467017917914e-6
step = 6, t = 7.292411025437014e-6, dt = 1.0144467017917914e-6
step = 7, t = 8.306857727228806e-6, dt = 1.0144467017917914e-6
step = 8, t = 9.321304429020598e-6, dt = 1.0144467017917914e-6
step = 9, t = 1.033575113081239e-5, dt = 1.0144467017917914e-6
step = 10, t = 1.1350197832604182e-5, dt = 1.0144467017917914e-6
step = 11, t = 1.2364644534395974e-5, dt = 1.0144467017917914e-6
step = 12, t = 1.3379091236187766e-5, dt = 1.0144467017917914e-6
step = 13, t = 1.4393537937979557e-5, dt = 1.0144467017917914e-6
step = 14, t = 1.540798463977135e-5, dt = 1.0144467017917914e-6
step = 15, t = 1.642243134156314e-5, dt = 1.0144467017917914e-6
step = 16, t = 1.7436878043354933e-5, dt = 1.0144467017917914e-6
step = 17, t = 1.8451324745146725e-5, dt = 1.0144467017917914e-6
step = 18, t = 1.9465771446938517e-5, dt = 1.0144467017917914e-6
step = 19, t = 2.048021814873031e-5, dt = 1.0144467017917914e-6
step = 20, t = 2.14946648505221e-5, dt = 1.0144467017917914e-6
step = 21, t = 2.2509111552313892e-5, dt = 1.0144467017917914e-6
step = 22, t = 2.3523558254105684e-5, dt = 1.0144467017917914e-6
step = 23, t = 2.4538004955897476e-5, dt = 1.0144467017917914e-6
step = 24, t = 2.5552451657689268e-5, dt = 1.0144467017917914e-6
step = 25, t = 2.656689835948106e-5, dt = 1.0144467017917914e-6
step = 26, t = 2.7581345061272852e-5, dt = 1.0144467017917914e-6
step = 27, t = 2.8595791763064644e-5, dt = 1.0144467017917914e-6
step = 28, t = 2.9610238464856435e-5, dt = 1.0144467017917914e-6
step = 29, t = 3.062468516664823e-5, dt = 1.0144467017917914e-6
